"citizen_dr" "merch_dr" "peasants_dr"
"целует" 0.0130518484680393 0.0304180306497871 0.0320122927204046
"дурак" 0.0293666590530884 0.0238998812248327 0.041615980536526
"придет" 0.0228407348190688 0.0282453141748023 0.0288110634483642
"вся" 0.0456814696381375 0.0217271647498479 0.0320122927204046
"горе" 0.00978888635102946 0.0267968365248124 0.0448172098085665
"действие" 0.0195777727020589 0.0275210753498074 0.0320122927204046
"дементий" 0.17619995431853 0 0
"наши" 0.00978888635102946 0.0231756423998378 0.0608233561687688
"будь" 0.00652592423401964 0.0238998812248327 0.0576221268967283
"воля" 0.0261036969360786 0.0173817317998783 0.0672258147128497
"второе" 0.00978888635102946 0.0318665082997769 0.0192073756322428
"никого" 0.0163148105850491 0.0282453141748023 0.0288110634483642
"отец" 0.035892583287108 0.0246241200498276 0.0256098341763237
"пожалуйте" 0.0685222044572062 0.020278687099858 0.0128049170881619
"ровно" 0.0587333181061768 0.0115878211999189 0.0608233561687688
"семеновна" 0.0391555454041179 0.0296937918247921 0
"суд" 0.0228407348190688 0.0296937918247921 0.0160061463602023
"взял" 0.0163148105850491 0.0267968365248124 0.0320122927204046
"голова" 0.0130518484680393 0.0275210753498074 0.0320122927204046
"думаешь" 0.0293666590530884 0.031142269474782 0
"знаете" 0.0130518484680393 0.031142269474782 0.0160061463602023
"мужа" 0 0.0340392247747617 0.0160061463602023
"наш" 0.035892583287108 0.0253483588748226 0.0192073756322428
"окно" 0.0195777727020589 0.0260725976998175 0.0320122927204046
"парень" 0.0228407348190688 0.0123120600249138 0.089634419617133
"просто" 0.0326296211700982 0.0296937918247921 0.00320122927204046
